,Strategy 1,Strategy 2,Correlation
465,fib_ema_bounce,momentum_exhaustion,0.024
501,h1_adx_m5_ema,stoch_ema_trend,0.024
152,cci_ema,ema_macd_rsi_confluence,0.024
507,h1_adx_m5_ema,tweezer_reversal,0.024
818,marubozu_trend,scalp_pullback,0.024
481,h1_adx_m5_ema,h1_trend_m5_stoch,0.024
561,h1_trend_m5_ema_cross,stoch_divergence,0.024
491,h1_adx_m5_ema,marubozu_trend,0.026
883,rsi_divergence,stoch_bb_bounce,0.026
388,ema_stochastic_mtf,h1_trend_m5_ema_cross,0.026
121,breakout_retest,cci_ema,0.026
495,h1_adx_m5_ema,pin_bar_ema,0.026
580,h1_trend_m5_macd,momentum_exhaustion,0.026
295,ema_rsi_cross,momentum_exhaustion,0.027
562,h1_trend_m5_ema_cross,stoch_ema_trend,0.027
350,ema_stochastic,fib_ema_bounce,0.027
460,fib_ema_bounce,macd_bb_breakout,0.028
321,ema_stoch_cross,h1_trend_m5_stoch,0.028
18,adx_di_ema,h1_trend_m5_stoch,0.029
395,ema_stochastic_mtf,keltner_rsi,0.029
277,ema_rsi_cross,engulfing_ema,0.029
287,ema_rsi_cross,ichimoku_cloud_break,0.03
906,scalp_pullback,supertrend_rsi_ema,0.03
916,stoch_bb_bounce,trend_mean_reversion,0.031
393,ema_stochastic_mtf,ichimoku_cloud_bounce,0.031
420,engulfing_ema,h1_adx_m5_ema,0.032
307,ema_rsi_cross,trend_mean_reversion,0.032
23,adx_di_ema,ma_ribbon_pullback,0.032
67,adx_rsi_ema,morning_evening_star,0.033
342,ema_stoch_cross,three_bar_reversal,0.033
850,morning_evening_star,trend_momentum_vol,0.033
542,h1_trend_m5_ema_cross,h1_trend_m5_stoch,0.034
940,trend_mean_reversion,trend_momentum_vol,0.034
880,pin_bar_ema,williams_ema,0.034
431,engulfing_ema,macd_bb_breakout,0.035
239,ema_macd_rsi_confluence,morning_evening_star,0.035
191,cci_ema,tweezer_reversal,0.035
263,ema_ribbon_pullback,morning_evening_star,0.036
25,adx_di_ema,macd_divergence,0.036
412,ema_stochastic_mtf,supertrend_rsi_ema,0.037
643,h1_trend_m5_stoch,stoch_ema_trend,0.037
15,adx_di_ema,h1_trend_m5_ema_cross,0.037
325,ema_stoch_cross,keltner_rsi,0.038
11,adx_di_ema,engulfing_ema,0.038
552,h1_trend_m5_ema_cross,marubozu_trend,0.039
770,macd_divergence,stoch_bb_bounce,0.039
718,keltner_rsi,pin_bar_ema,0.039
0,adx_di_ema,adx_rsi_ema,0.039
176,cci_ema,momentum_exhaustion,0.04
544,h1_trend_m5_ema_cross,ichimoku_cloud_bounce,0.04
389,ema_stochastic_mtf,h1_trend_m5_macd,0.04
931,stoch_ema_trend,trend_mean_reversion,0.04
19,adx_di_ema,heikin_ashi_ema,0.04
359,ema_stochastic,ichimoku_cloud_break,0.041
539,h1_trend_m5_bb,williams_ema,0.041
510,h1_trend_m5_bb,h1_trend_m5_macd,0.041
398,ema_stochastic_mtf,macd_divergence,0.042
529,h1_trend_m5_bb,scalp_pullback,0.042
747,macd_bb_breakout,pin_bar_ema,0.042
372,ema_stochastic,rsi_divergence_ema,0.043
910,scalp_pullback,tweezer_reversal,0.043
291,ema_rsi_cross,macd_divergence,0.043
29,adx_di_ema,momentum_exhaustion,0.044
53,adx_rsi_ema,h1_adx_m5_ema,0.044
760,macd_bb_breakout,williams_ema,0.045
553,h1_trend_m5_ema_cross,momentum_exhaustion,0.045
297,ema_rsi_cross,parabolic_sar_ema,0.045
153,cci_ema,ema_ribbon_pullback,0.045
911,scalp_pullback,williams_ema,0.045
337,ema_stoch_cross,rsi_divergence_ema,0.045
730,ma_ribbon_pullback,morning_evening_star,0.045
614,h1_trend_m5_rsi,stoch_bb_bounce,0.045
